,cloud_cover,apparent_temperature,temperature,humidity,dew_point,wind_bearing,wind_speed,wind_gust,pressure,uv_index,ozone,precip_intensity,precip_probability,power_generated,clear-night,cloudy,fog,partly-cloudy-day,partly-cloudy-night,rain,wind,8,9,10,11,12,13,14,15,16,17,Clear,Foggy,Humid,Humid and Foggy,Humid and Mostly Cloudy,Humid and Overcast,Humid and Partly Cloudy,Light Rain,Light Rain and Humid,Mostly Cloudy,Overcast,Partly Cloudy,Possible Drizzle and Humid,Possible Light Rain,Possible Light Rain and Humid,Rain,Rain and Humid
7,0.0,25.23,25,1,17.71,188.7869291338583,2.638889665346689,4.2453,1009.3,0.1925754060324826,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8,0.0,24.29,24,1,18.94,188.7869291338583,2.638889665346689,4.2453,1009.3,1.0232018561484921,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.13,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,0.0,26.56,26,1,17.33,237.0,0.6,4.2453,1009.95,2.7587006960556844,274.45970738773497,0.00020161290322580648,0.01839980685659115,7.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,0.0,32.03,31,0,18.09,281.0,2.63,4.2453,1009.245,4.7308584686774955,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0.0,33.31,32,0,17.72,278.0,3.73,4.2453,1009.245,6.529002320185615,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,0.0,36.14,36,0,16.43,304.0,0.96,4.2453,1008.54,7.535962877030162,274.45970738773497,0.00020161290322580648,0.01839980685659115,13.16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,0.0,35.63,36,0,15.56,291.0,3.97,4.2453,1006.925,7.456018518518517,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,0.0,35.57,36,0,14.5,315.0,4.67,4.2453,1006.925,6.377314814814816,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15,0.0,38.25,38,0,13.8,275.0,1.72,4.2453,1005.31,4.523148148148149,274.45970738773497,0.00020161290322580648,0.01839980685659115,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0.0,36.59,36,0,16.27,330.0,4.47,4.2453,1004.88,2.6041666666666665,274.45970738773497,0.00020161290322580648,0.01839980685659115,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0.0,35.0,35,0,14.81,330.0,4.47,4.2453,1004.88,1.0069444444444444,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,0.0,23.02,23,1,17.68,188.7869291338583,2.638889665346689,4.2453,1007.115,0.1925754060324826,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,0.0,25.46,25,1,19.58,270.0,1.34,4.2453,1007.115,1.0232018561484921,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,0.0,27.82,28,0,15.38,254.0,0.93,4.2453,1007.42,2.7587006960556844,274.45970738773497,0.00020161290322580648,0.01839980685659115,7.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,0.0,30.59,30,0,17.43,260.0,2.9,4.2453,1007.32,4.7308584686774955,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,0.0,33.44,33,0,17.38,290.0,3.59,4.2453,1007.32,6.529002320185615,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,0.0,34.89,35,0,14.58,301.0,1.7,4.2453,1007.22,7.535962877030162,274.45970738773497,0.00020161290322580648,0.01839980685659115,13.16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,0.0,35.57,36,0,14.48,306.0,4.54,4.2453,1006.1,7.456018518518517,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,0.0,36.11,36,0,14.67,315.0,4.44,4.2453,1006.1,6.377314814814816,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,0.0,37.44,37,0,15.32,314.0,1.5,4.2453,1004.98,4.523148148148149,274.45970738773497,0.00020161290322580648,0.01839980685659115,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,0.0,35.73,36,0,15.78,302.0,3.99,4.2453,1004.5,2.6041666666666665,274.45970738773497,0.00020161290322580648,0.01839980685659115,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,0.0,35.03,35,0,15.29,323.0,3.77,4.2453,1004.5,1.0069444444444444,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55,0.0,22.62,22,1,18.8,260.0,1.34,4.2453,1008.32,0.1925754060324826,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
56,0.0,25.17,25,1,17.2,250.0,1.34,4.2453,1008.32,1.0232018561484921,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
57,0.0,27.88,27,1,17.66,275.0,0.48,4.2453,1009.24,2.7587006960556844,274.45970738773497,0.00020161290322580648,0.01839980685659115,7.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,0.0,30.97,30,0,18.25,300.0,1.97,4.2453,1008.92,4.7308584686774955,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
59,0.0,34.04,32,0,19.44,275.0,2.67,4.2453,1008.92,6.529002320185615,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0.0,37.19,35,0,18.69,294.0,1.06,4.2453,1008.6,7.535962877030162,274.45970738773497,0.00020161290322580648,0.01839980685659115,13.16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,0.0,35.23,34,0,18.36,339.0,3.75,4.2453,1007.385,7.456018518518517,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
62,0.0,36.92,35,0,18.95,320.0,3.96,4.2453,1007.385,6.377314814814816,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
63,0.0,38.34,37,0,16.78,318.0,1.63,4.2453,1006.17,4.523148148148149,274.45970738773497,0.00020161290322580648,0.01839980685659115,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,0.0,37.41,36,0,17.7,340.0,3.83,4.2453,1005.945,2.6041666666666665,274.45970738773497,0.00020161290322580648,0.01839980685659115,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
65,0.0,37.48,36,0,18.78,340.0,3.61,4.2453,1005.945,1.0069444444444444,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,0.0,24.39,24,1,20.02,188.7869291338583,2.638889665346689,4.2453,1009.93,0.1925754060324826,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0.0,24.96,24,1,20.03,188.7869291338583,2.638889665346689,4.2453,1009.93,1.0232018561484921,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
81,0.0,26.64,26,1,19.54,263.0,0.53,4.2453,1010.85,2.7587006960556844,274.45970738773497,0.00020161290322580648,0.01839980685659115,7.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
82,0.0,32.55,31,1,19.99,295.0,1.06,4.2453,1010.21,4.7308584686774955,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
83,0.0,34.43,32,0,19.55,314.0,2.45,4.2453,1010.21,6.529002320185615,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
84,0.09,36.51,35,0,18.72,313.0,1.59,4.2453,1009.57,7.535962877030162,274.45970738773497,0.00020161290322580648,0.01839980685659115,13.16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
85,0.0,38.2,35,0,20.54,317.0,3.38,4.2453,1008.45,7.456018518518517,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
86,0.0,37.48,36,0,18.78,330.0,3.96,4.2453,1008.45,6.377314814814816,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
87,0.09,38.32,37,0,17.19,325.0,1.52,4.2453,1007.33,4.523148148148149,274.45970738773497,0.00020161290322580648,0.01839980685659115,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
88,0.0,36.58,36,0,16.25,332.0,3.69,4.2453,1007.31,2.6041666666666665,274.45970738773497,0.00020161290322580648,0.01839980685659115,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89,0.0,35.0,35,0,15.03,343.0,3.37,4.2453,1007.31,1.0069444444444444,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
103,0.0,25.49,25,1,20.03,188.7869291338583,2.638889665346689,4.2453,1009.68,0.1925754060324826,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
104,0.0,25.72,25,1,21.69,250.0,2.24,4.2453,1009.68,1.0232018561484921,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
105,0.0,28.36,27,1,19.77,305.0,0.4,4.2453,1009.8,2.7587006960556844,274.45970738773497,0.00020161290322580648,0.01839980685659115,7.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
106,0.0,33.97,31,1,21.11,313.0,1.57,4.2453,1009.785,4.7308584686774955,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
107,0.0,36.24,33,1,21.42,330.0,2.64,4.2453,1009.785,6.529002320185615,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
108,0.0,36.1,35,0,18.5,349.0,1.24,4.2453,1009.77,7.535962877030162,274.45970738773497,0.00020161290322580648,0.01839980685659115,13.16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
109,0.0,36.64,36,0,17.48,356.0,3.29,4.2453,1008.58,7.456018518518517,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110,0.0,37.27,37,0,15.06,40.0,3.58,4.2453,1008.58,6.377314814814816,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
111,0.0,36.98,37,0,15.1,354.0,1.31,4.2453,1007.39,4.523148148148149,274.45970738773497,0.00020161290322580648,0.01839980685659115,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112,0.0,37.22,37,0,13.87,340.0,4.47,4.2453,1007.11,2.6041666666666665,274.45970738773497,0.00020161290322580648,0.01839980685659115,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
113,0.0,35.85,35,0,17.21,332.0,3.32,4.2453,1007.11,1.0069444444444444,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
127,0.0,28.37,27,1,18.77,188.7869291338583,2.638889665346689,4.2453,1010.325,0.1925754060324826,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
128,0.0,26.32,26,1,19.69,188.7869291338583,0.0,4.2453,1010.325,1.0232018561484921,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
129,0.0,28.63,27,1,19.03,188.7869291338583,2.638889665346689,4.2453,1010.81,2.7587006960556844,274.45970738773497,0.00020161290322580648,0.01839980685659115,7.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0.0,33.37,32,0,18.83,259.0,0.85,4.2453,1010.41,4.7308584686774955,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.08,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
131,0.0,34.54,34,0,17.11,352.0,2.32,4.2453,1010.41,6.529002320185615,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.09,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
132,0.0,35.42,35,0,15.95,346.0,0.8,4.2453,1010.01,7.535962877030162,274.45970738773497,0.00020161290322580648,0.01839980685659115,13.16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
133,0.0,35.57,36,0,13.91,332.0,2.93,4.2453,1008.925,7.456018518518517,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
134,0.0,35.57,36,0,13.91,306.0,3.57,4.2453,1008.925,6.377314814814816,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
135,0.0,36.98,37,0,14.43,349.0,1.18,4.2453,1007.84,4.523148148148149,274.45970738773497,0.00020161290322580648,0.01839980685659115,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
136,0.0,35.0,35,0,14.27,325.0,3.88,4.2453,1007.34,2.6041666666666665,274.45970738773497,0.00020161290322580648,0.01839980685659115,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
137,0.0,35.0,35,0,14.29,326.0,3.13,4.2453,1007.34,1.0069444444444444,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,0.0,21.39,21,1,17.72,188.7869291338583,2.638889665346689,4.2453,1010.065,0.1925754060324826,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
152,0.0,23.16,23,1,18.81,280.0,2.24,4.2453,1010.065,1.0232018561484921,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
153,0.0,25.06,25,1,17.82,272.0,0.68,4.2453,1010.6,2.7587006960556844,274.45970738773497,0.00020161290322580648,0.01839980685659115,7.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
154,0.0,30.69,29,1,20.03,280.0,1.14,4.2453,1010.085,4.7308584686774955,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
155,0.0,33.99,32,0,19.85,311.0,2.73,4.2453,1010.085,6.529002320185615,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.09,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
156,0.0,35.82,34,0,19.07,257.0,1.18,4.2453,1009.57,7.535962877030162,274.45970738773497,0.00020161290322580648,0.01839980685659115,13.16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,0.0,34.75,34,0,17.54,303.0,3.55,4.2453,1008.1,7.456018518518517,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,0.0,34.46,34,0,15.56,350.0,3.15,4.2453,1008.1,6.377314814814816,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.78,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,0.0,36.97,37,0,15.86,333.0,0.97,4.2453,1006.63,4.523148148148149,274.45970738773497,0.00020161290322580648,0.01839980685659115,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,0.0,35.0,35,0,15.53,326.0,3.13,4.2453,1005.98,2.6041666666666665,274.45970738773497,0.00020161290322580648,0.01839980685659115,4.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,0.0,34.46,34,0,15.77,330.0,3.96,4.2453,1005.98,1.0069444444444444,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
175,0.0,23.02,23,1,17.68,270.0,1.34,4.2453,1008.83,0.1925754060324826,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
176,0.0,24.95,24,1,20.01,280.0,2.24,4.2453,1008.83,1.0232018561484921,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
177,0.0,27.61,26,1,19.51,289.0,0.73,4.2453,1009.6,2.7587006960556844,274.45970738773497,0.00020161290322580648,0.01839980685659115,7.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
178,0.0,30.02,28,1,20.58,325.0,2.16,4.2453,1009.035,4.7308584686774955,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
179,0.0,34.71,32,1,21.18,334.0,2.45,4.2453,1009.035,6.529002320185615,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.09,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,0.0,35.5,33,0,19.45,26.0,0.18,4.2453,1008.47,7.535962877030162,274.45970738773497,0.00020161290322580648,0.01839980685659115,13.16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
181,0.0,36.1,33,0,20.45,8.0,2.13,4.2453,1006.95,7.456018518518517,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.42,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
182,0.0,35.34,34,0,18.53,334.0,2.8,4.2453,1006.95,6.377314814814816,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.78,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
183,0.0,37.98,36,0,18.12,350.0,1.18,4.2453,1005.43,4.523148148148149,274.45970738773497,0.00020161290322580648,0.01839980685659115,8.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
184,0.0,36.63,34,0,19.44,25.0,1.79,4.2453,1005.06,2.6041666666666665,274.45970738773497,0.00020161290322580648,0.01839980685659115,4.11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
185,0.0,35.88,34,0,19.33,32.0,1.44,4.2453,1005.06,1.0069444444444444,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.64,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
199,0.0,22.62,22,1,18.8,188.7869291338583,2.638889665346689,4.2453,1008.395,0.1925754060324826,274.45970738773497,0.00020161290322580648,0.01839980685659115,0.34,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200,0.0,23.23,23,1,19.4,188.7869291338583,2.638889665346689,4.2453,1008.395,1.0232018561484921,274.45970738773497,0.00020161290322580648,0.01839980685659115,3.13,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
201,0.0,25.79,25,1,18.86,117.0,0.71,4.2453,1008.81,2.7587006960556844,274.45970738773497,0.00020161290322580648,0.01839980685659115,7.04,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
202,0.0,33.28,30,1,21.93,114.0,2.53,4.2453,1008.615,4.7308584686774955,274.45970738773497,0.00020161290322580648,0.01839980685659115,10.08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
203,0.0,36.14,33,1,21.68,116.0,1.73,4.2453,1008.615,6.529002320185615,274.45970738773497,0.00020161290322580648,0.01839980685659115,12.09,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,0.0,35.97,34,0,19.79,115.0,1.18,4.2453,1008.42,7.535962877030162,274.45970738773497,0.00020161290322580648,0.01839980685659115,13.16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
